Receive time, Header,Millis,PCFTime, BMETemp(C),BMEPress(hPa),BMEHum(%),BMEGas(KOhms),BMEAlt(m),INACurr(mA),INAVolt(mV),INAPow(mW),LSM9DS1 AccX, LSM9DS1 AccY, LSM9DS1 AccZ, LSM9DS1 GyroX, LSM9DS1 GyroY, LSM9DS1 GyroZ, LSM9DS1 MagX, LSM9DS1 MagY, LSM9DS1 MagZ,PicoTemp(C),ICM AccX,ICM AccY,ICM AccZ,ICM GyroX,ICM GyroY,ICM GyroZ,ICM MagX,ICM MagY,ICM MagZ,ICM TempC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:49, 3f82,34145.2,0.91,23f82,345243f82,3453504,29.28,3-2.28,2.013f82,34546-,-0.09,0.3f82,3455716,38.37,23f82,345670,0,3f82,34568.26,47.98,3f82,34578,0,0.003f82,34589,0,0.009,19.48,-23f82,3460223,-4.72,0,0,163f82,34735,0,03f82,34890,0,03f82,34891.88,53.61,3f82,34901,0,0.003f82,34902.7,36.99,3f82,34913.84,-1.97,3f82,3503692,42.01,-,0,0.003f82,35047.46,45.79,3f82,35058.55,46.43,0,0,03f82,3506955,50.82,--,-0.65,2.3f82,35181.19,0.17,2,62.91,11.3.77,0,1.58,4.16,3f82,352243f82,353243f82,35326.31,0,03f82,353372.42,46.363f82,3534602,0,0.3f82,35348.38,-21.153f82,3535799,-,,-5.54,-133f82,357760.49,29.483f82,358011.57,25.563f82,3581008,0,0.3f82,358132.17,-23.13f82,3582392,0,0.3f82,35826.42,-3.76,3f82,358353f82,358383.94,18.943f82,358513,40.19,7.3f82,358602,0,0.03f82,35863.7,26.98,1,9.95,0.03f82,358730.45,0,3f82,358760.56,-0.313f82,358861,0,0.03f82,358883f82,358980,0,3f82,359233f82,359980,0,3f82,360013,39.14,-03f82,36524,0,0.003f82,365903f82,366020,102400003f82,367373f82,3674037,66.3,13f82,367500,0,3f82,36753.16,65.23,3f82,367628,0,0.03f82,3676579,2000/1/0 5:1:18,-31.43,35.72,0,102400000,20879.1,220,3890,860,-0.42,2.66,18.27,-0.62,1.14,-1.12,-12.03,45.78,-46.49,-36.53,-0.32,-1.43,18.54,-0.67,-1.2,-1.01,0,0,0,166.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:51, 3f82,3677542,-,-,-,-,-,-,-,-,-,5.49,6.24,23.4,-0.01,1.24,-3.42,-7.28,28.27,-54.93,-,6.16,-3.96,23.82,-0.02,-1.43,-3.38,0,0,0,166.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:55, 3f82,3677833,2000/1/0 5:1:19,-31.42,35.63,0,102400000,20887.86,220,3890,860,-1.82,1.24,14.02,-0.21,-0.51,-0.09,-1.99,3.93,-53.51,-36.53,-1.73,-0.67,14.2,-0.26,0.51,-0.07,0,0,0,166.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:57, 3f82,3678793,-,-,-,-,-,-,-,-,-,0.29,0.6,9.53,-0.09,-0.38,0.65,-7.59,4.87,-50.32,-,0.53,-0.07,9.81,-0.14,0.44,0.68,0,0,0,166.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:58, 3f82,36790.25,-21.033f82,368002,0,0.03f82,36803.76,19.04,3f82,3681268,0,0.3f82,3681590,2000/1/0 5:1:23,-31.4,35.35,0,102400000,20925.56,220,3890,860,-3.42,-6.09,17.82,0.8,-0.81,-1.04,-26.47,44.43,-20.33,-36.06,-3.28,7.02,17.67,0.75,0.78,-1.06,0,0,0,166.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:00, 3f82,368280.87,-13.43f82,3683821,0,0.3f82,368402.11,-11.23f82,3685001,-6.23,-,0,0.00166.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:44, 3f82,368534.5,-0.533f82,3686372,0,0.3f82,36866,16.84,50.3f82,3687500,0,0.3f82,368783,45.75,-13f82,36888,0,0.003f82,368911.23,12.913f82,36900.31,0,03f82,36903,-0.61,28.3f82,36913,0,0.003f82,36916,2000/1/0 .84,0,1,3888.70.56,-18.63f82,36925,0,03f82,36928,0.39,8.833f82,369388,0,0.03f82,36941.68,2.91,-9,-4.53,113f82,3695350,39.14,23f82,369630,0,3f82,36966.61,5.48,-3f82,3697566,0,0.3f82,369783f82,3702862.18,233.34,0,0.3f82,37038,0,03f82,370410.24,20.393f82,370501.02,0,3f82,37053.54,23.37,3f82,370633f82,3706619,44.59,53f82,37075,0,03f82,370781.4,63.723f82,37088,0,0.003f82,370911.22,-18.73f82,37101.49,0,03f82,37103.25,-17.333f82,371130,0,3f82,3711604,-20.97,3f82,37126,0,0.003f82,3712959,215,1,0,0.03f82,372411,2.37,39.87,-23.7116,2.48,0.3f82,372510,0,3f82,3725483,-11.12,3f82,37263,0,0.003f82,3726692,18.27,33f82,37276,0,0.003f82,37279,31.57,37.3f82,3728800,0,0.3f82,37291-0.25,18.53f82,3730171,0,0.3f82,373041.98,50.373f82,37313.59,0,03f82,3731690,2000/1/0 5:2:13,-31.03,33.03,0,102400000,21227.55,232.5,3887.5,910,-0.35,1.13,9.32,0.34,-0.62,-3.27,-29.82,17.22,-22.1,-36.06,0.14,-0.53,9.59,0.31,0.45,-3.34,0,0,0,166.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:46, 3f82,3732647,-,-,-,-,-,-,-,-,-,-1.11,0.83,8.63,0.23,-0.52,-3.06,-14.35,-12.83,-16.52,-,-0.7,-0.39,8.95,0.2,0.35,-3.12,0,0,0,166.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:48, 3f82,3732943,2000/1/0 5:2:14,-31.02,32.95,0,102400000,21238.22,231.25,3886.25,900,0.9,1.06,9.73,0.12,-0.65,-3.07,58.29,39.9,-31.64,-36.06,1.57,-0.27,10.07,0.08,0.49,-3.14,0,0,0,166.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:50, 3f82,3733899,-,-,-,-,-,-,-,-,-,-0.42,-0.83,10.6,-0.19,-0.49,-3.4,32.27,61.79,-36.86,-,0.02,1.67,10.72,-0.23,0.3,-3.45,0,0,0,166.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:52, 3f82,3734195,2000/1/0 5:2:15,-31.01,32.87,0,102400000,21246.24,216.25,3888.75,840,-1.36,1.23,14.25,0.13,0.76,-1.67,-9.89,11.18,-50.85,-36.53,-1.16,-0.23,14.48,0.1,-0.85,-1.61,0,0,0,166.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
