time,lasttime,lat,lng,speed,course,altitude,comment
2024-11-23 16:05:26,2024-11-23 16:05:26,32.85183,-112.32117,22,59,1457.86,""
2024-11-23 16:16:26,2024-11-23 16:16:26,32.86783,-112.24817,81,69,6253.58,""
2024-11-23 16:23:26,2024-11-23 16:23:26,32.88333,-112.18583,80,96,9676.18,""
2024-11-23 16:25:26,2024-11-23 16:25:26,32.88017,-112.16267,100,90,10692.08,""
2024-11-23 16:26:56,2024-11-23 16:26:56,32.87717,-112.13267,143,91,11478.16,""
2024-11-23 16:27:26,2024-11-23 16:27:26,32.87633,-112.12050,131,100,11732.06,""
2024-11-23 16:28:26,2024-11-23 16:28:26,32.87317,-112.09467,150,90,12269.11,""
2024-11-23 16:29:26,2024-11-23 16:29:26,32.86967,-112.06750,172,104,12799.16,""
2024-11-23 16:30:56,2024-11-23 16:30:56,32.86467,-112.03133,107,103,13612.98,""
2024-11-23 16:31:26,2024-11-23 16:31:26,32.86350,-112.02067,131,106,13893.09,""
2024-11-23 16:33:56,2024-11-23 16:33:56,32.85917,-111.96883,128,85,15332.96,""
2024-11-23 16:34:26,2024-11-23 16:34:26,32.85917,-111.95867,131,94,15635.02,""
2024-11-23 16:34:56,2024-11-23 16:34:56,32.85833,-111.94850,119,103,15972.74,""
2024-11-23 16:38:26,2024-11-23 16:38:26,32.85733,-111.88317,107,120,18111.83,""
2024-11-23 16:39:56,2024-11-23 16:39:56,32.85383,-111.86267,31,141,18864.68,""
2024-11-23 16:40:26,2024-11-23 16:40:26,32.85283,-111.85783,70,94,19096.63,""
2024-11-23 16:40:56,2024-11-23 16:40:56,32.85367,-111.85050,85,95,19418.81,""
2024-11-23 16:41:56,2024-11-23 16:41:56,32.85317,-111.83633,70,87,19772.68,""
2024-11-23 16:43:25,2024-11-23 16:43:25,32.85117,-111.81700,59,123,20365.52,""
2024-11-23 16:43:55,2024-11-23 16:43:55,32.85050,-111.81300,19,343,20597.47,""
2024-11-23 16:44:55,2024-11-23 16:44:55,32.84983,-111.80150,128,100,21134.53,""
2024-11-23 16:45:25,2024-11-23 16:45:25,32.84817,-111.79633,61,111,21403.67,""
2024-11-23 16:45:55,2024-11-23 16:45:55,32.84600,-111.79433,44,219,21749.61,""
2024-11-23 16:46:56,2024-11-23 16:46:56,32.84283,-111.78717,54,138,22329.34,""
2024-11-23 16:48:26,2024-11-23 16:48:26,32.84367,-111.77767,52,138,23054.46,""
2024-11-23 16:48:56,2024-11-23 16:48:56,32.84217,-111.77433,24,114,23298.30,""
2024-11-23 16:49:26,2024-11-23 16:49:26,32.84167,-111.77083,46,74,23563.48,""
2024-11-23 16:49:55,2024-11-23 16:49:55,32.84150,-111.76717,63,112,23786.29,""
2024-11-23 16:50:25,2024-11-23 16:50:25,32.84100,-111.76367,20,124,23991.42,""
2024-11-23 16:50:55,2024-11-23 16:50:55,32.84017,-111.75967,52,91,24200.51,""
2024-11-23 16:51:25,2024-11-23 16:51:25,32.84000,-111.75583,50,124,24404.42,""
2024-11-23 16:53:56,2024-11-23 16:53:56,32.83817,-111.74033,17,61,25421.23,""
2024-11-23 16:54:56,2024-11-23 16:54:56,32.83833,-111.73467,52,86,25829.36,""
2024-11-23 16:55:26,2024-11-23 16:55:26,32.83833,-111.73083,43,81,26047.29,""
2024-11-23 16:55:56,2024-11-23 16:55:56,32.83767,-111.72667,46,110,26269.19,""
2024-11-23 16:57:25,2024-11-23 16:57:25,32.83817,-111.71450,44,70,26933.35,""
2024-11-23 16:58:25,2024-11-23 16:58:25,32.83967,-111.70750,39,114,27383.23,""
2024-11-23 16:59:56,2024-11-23 16:59:56,32.84050,-111.69533,72,78,27968.14,""
2024-11-23 17:00:25,2024-11-23 17:00:25,32.84117,-111.68900,70,87,28169.01,""
2024-11-23 17:04:26,2024-11-23 17:04:26,32.84600,-111.62883,83,90,29738.12,""
2024-11-23 17:04:56,2024-11-23 17:04:56,32.84633,-111.62217,69,91,29938.98,""
2024-11-23 17:05:26,2024-11-23 17:05:26,32.84667,-111.61567,69,71,30144.11,""
2024-11-23 17:05:55,2024-11-23 17:05:55,32.84733,-111.60867,91,81,30351.07,""
2024-11-23 17:06:25,2024-11-23 17:06:25,32.84883,-111.60117,93,85,30552.85,""
2024-11-23 17:06:55,2024-11-23 17:06:55,32.85067,-111.59117,124,77,30767.12,""
2024-11-23 17:07:55,2024-11-23 17:07:55,32.85317,-111.57250,130,79,29592.12,""
2024-11-23 17:12:56,2024-11-23 17:12:56,32.85267,-111.52200,109,93,18300.80,""
