Testing writing tp d1.csv
Millis, BME680 Temp C, BME680 Pressure hPa, BME680 Humidity %, BME680 Gas KOhms, BME680 Approx Alt m, SHT31 Hum %, SHT31 Temp C, LSM9DS1 AccX, LSM9DS1 AccY, LSM9DS1 AccZ, LSM9DS1 GyroX, LSM9DS1 GyroY, LSM9DS1 GyroZ, LSM9DS1 MagX, LSM9DS1 MagY, LSM9DS1 MagZ, LSM6DS AccX, LSM6DS AccY, LSM6DS AccZ, LSM6DS GyroX, LSM6DS GyroY, LSM6DS GyroZ, LSM6DS Temp, INA260 Current mA, INA260 Bus Voltage mV, INA260 Power mW, MTK3339 Date, MTK3339 Latitude, MTK3339 Longitude, MTK3339 Speed, MTK3339 Angle, MTK3339 Altitude, MTK3339 Satellites, MD0555 Wind Speed RAW, PT1000 Temp RAW, ZOPT220 UV Index, ZOPT220 Ambient Light, GeigerInterrupt CPS, 
7919, 40.33, 946.88, 9.49, 20545, 567.75, 11.40, 35.31, -0.95, -0.37, 0.09, -1.22, 1.04, 1.22, -18.24, 47.60, -4.33, -0.00, -1.00, 0.08, -0.24, -0.18, 0.00, 42.02, 212.50, 11276.25, 2390.00, -, -, -, -, -, -, -, 26, 1023, 0.00, 1422, 0.74, 
9476, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.22, 1.04, 1.16, -18.55, 48.21, -5.09, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
9619, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 1.04, -18.76, 47.75, -4.06, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
9757, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.22, 1.16, -17.92, 48.10, -6.57, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
9895, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.04, 0.92, -18.15, 47.52, -5.70, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10033, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.28, 1.28, 1.04, -19.54, 47.64, -4.80, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10576, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 0.98, -18.96, 47.25, -3.44, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10714, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.16, 1.04, -20.25, 48.01, -4.28, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10852, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -17.47, 48.52, -6.91, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
10995, 40.14, 946.90, 9.40, 24859, 567.57, 11.37, 35.31, -0.95, -0.37, 0.10, -1.34, 1.10, 0.98, -20.00, 48.22, -3.56, -0.00, -1.00, 0.08, -0.24, -0.18, -0.06, 42.69, 211.25, 11277.50, 2380.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1402, 0.67, 
12442, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.10, -20.39, 47.30, -3.67, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12580, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.04, 1.16, -20.04, 47.60, -6.03, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12723, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 1.10, -20.87, 47.71, -5.07, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12861, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.04, 1.10, -19.46, 48.16, -5.62, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12999, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.28, 1.22, 1.10, -19.96, 47.18, -4.57, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
13542, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -18.57, 48.35, -6.84, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
