Time,Timestamp,Event,Count Rate: cps,Dose rate: Sv/h,Dose Rate Error: %,Dose Rate Alarm,Dose Alarm,Duration of dose accumulation: sec.,Dose: Sv,Temperature,Latitude,Longitude,Comment
2024-11-22 22:16:20.956,133767873809560000,Device power on,,,,0,0,,,,,,
2024-11-22 22:16:22.956,133767873829560000,,,,,0,0,23960,6.7E-7,28.6,,,
2024-11-22 22:17:22.956,133767874429560000,,,,,0,0,24020,6.8E-7,28.7,,,
2024-11-22 22:17:23.476,133767874434760000,Device power off,,,,0,0,,,,,,
2024-11-22 22:17:23.546,133767874435460000,,,,,0,0,24021,6.8E-7,28.7,,,
2024-11-22 22:38:44.946,133767887249460000,Device power on,,,,0,0,,,,,,
2024-11-22 22:38:46.946,133767887269460000,,,,,0,0,24022,6.8E-7,28.7,,,
2024-11-22 22:38:55.976,133767887359760000,Device power off,,,,0,0,,,,,,
2024-11-22 22:38:56.036,133767887360360000,,,,,0,0,24031,6.8E-7,28.7,,,
2024-11-23 08:39:41.826,133768247818260000,,8.822917,1.18220015E-7,28.3,0,0,,,,,,
2024-11-23 08:39:42.216,133768247822160000,Device power on,,,,0,0,,,,,,
2024-11-23 08:39:44.216,133768247842160000,,,,,0,0,24033,6.8E-7,19.1,,,
2024-11-23 08:40:29.826,133768248298260000,,8.239583,7.718913E-8,28.3,0,0,,,,,,
2024-11-23 08:42:05.826,133768249258260000,,7.5208335,9.8271684E-8,27.4,0,0,,,,,,
2024-11-23 08:43:41.826,133768250218260000,,7.7916665,9.596761E-8,28.1,0,0,,,,,,
2024-11-23 08:45:17.826,133768251178260000,,8.020833,9.46401E-8,26.1,0,0,,,,,,
2024-11-23 08:46:53.826,133768252138260000,,8.15625,1.0388184E-7,24.8,0,0,,,,,,
2024-11-23 08:48:29.826,133768253098260000,,8.46875,1.0915629E-7,24.4,0,0,,,,,,
2024-11-23 08:50:05.826,133768254058260000,,8.270833,9.7452805E-8,27.1,0,0,,,,,,
2024-11-23 08:51:41.826,133768255018260000,,8.09375,7.2153725E-8,29.9,0,0,,,,,,
2024-11-23 08:52:44.216,133768255642160000,,,,,0,0,24813,7.0000004E-7,19.3,,,
2024-11-23 08:53:17.826,133768255978260000,,8.4375,1.1321004E-7,25.9,0,0,,,,,,
2024-11-23 08:53:44.216,133768256242160000,,,,,0,0,24873,7.0000004E-7,19.4,,,
2024-11-23 08:54:44.216,133768256842160000,,,,,0,0,24933,7.0000004E-7,19.6,,,
2024-11-23 08:54:53.826,133768256938260000,,8.604167,1.1579895E-7,25.9,0,0,,,,,,
2024-11-23 08:55:44.216,133768257442160000,,,,,0,0,24993,7.0000004E-7,19.9,,,
2024-11-23 08:56:29.826,133768257898260000,,8.125,8.595784E-8,23.1,0,0,,,,,,
2024-11-23 08:56:44.216,133768258042160000,,,,,0,0,25053,7.0000004E-7,20.2,,,
2024-11-23 08:57:44.216,133768258642160000,,,,,0,0,25113,7.1E-7,20.7,,,
2024-11-23 08:58:05.826,133768258858260000,,8.270833,9.389241E-8,30.4,0,0,,,,,,
2024-11-23 08:58:44.216,133768259242160000,,,,,0,0,25173,7.1E-7,21.3,,,
2024-11-23 08:59:41.826,133768259818260000,,7.71875,7.113139E-8,26.8,0,0,,,,,,
2024-11-23 08:59:44.216,133768259842160000,,,,,0,0,25233,7.1E-7,21.8,,,
2024-11-23 09:00:44.216,133768260442160000,,,,,0,0,25293,7.1E-7,22.3,,,
2024-11-23 09:01:17.826,133768260778260000,,8.739583,8.684285E-8,24.2,0,0,,,,,,
2024-11-23 09:01:44.216,133768261042160000,,,,,0,0,25353,7.1E-7,22.8,,,
2024-11-23 09:02:44.216,133768261642160000,,,,,0,0,25413,7.1E-7,23.4,,,
2024-11-23 09:02:45.826,133768261658260000,,8.475,1.15478514E-7,29.7,0,0,,,,,,
2024-11-23 09:03:21.826,133768262018260000,,8.4,9.6459964E-8,29.7,0,0,,,,,,
2024-11-23 09:03:29.826,133768262098260000,,4.0208335,5.4077148E-8,60.6,0,0,,,,,,
2024-11-23 09:03:44.216,133768262242160000,,,,,0,0,25473,7.2E-7,24.2,,,
2024-11-23 09:04:09.826,133768262498260000,,2.7916667,2.6265461E-8,60.6,0,0,,,,,,
2024-11-23 09:04:17.826,133768262578260000,,1.875,6.808472E-8,99.0,0,0,,,,,,
2024-11-23 09:04:21.826,133768262618260000,,1.875,7.019043E-8,99.0,0,0,,,,,,
2024-11-23 09:04:33.826,133768262738260000,,0.8072917,1.9508361E-8,46.4,0,0,,,,,,
2024-11-23 09:04:44.216,133768262842160000,,,,,0,0,25533,7.2E-7,24.4,,,
2024-11-23 09:06:05.826,133768263658260000,,0.7239583,3.3874514E-8,46.4,0,0,,,,,,
2024-11-23 09:06:44.216,133768264042160000,,,,,0,0,25653,7.2E-7,24.3,,,
2024-11-23 09:07:44.216,133768264642160000,,,,,0,0,25713,7.2E-7,24.1,,,
2024-11-23 09:08:29.826,133768265098260000,,0.7604167,2.7353922E-8,67.9,0,0,,,,,,
2024-11-23 09:08:44.216,133768265242160000,,,,,0,0,25773,7.2E-7,24.0,,,
2024-11-23 09:09:44.216,133768265842160000,,,,,0,0,25833,7.2E-7,23.7,,,
2024-11-23 09:10:05.826,133768266058260000,,1.2604166,6.591797E-8,47.0,0,0,,,,,,
2024-11-23 09:10:44.216,133768266442160000,,,,,0,0,25893,7.2E-7,23.3,,,
2024-11-23 09:11:41.826,133768267018260000,,1.6979166,1.12218224E-7,36.5,0,0,,,,,,
2024-11-23 09:11:44.216,133768267042160000,,,,,0,0,25953,7.2E-7,22.9,,,
2024-11-23 09:12:44.216,133768267642160000,,,,,0,0,26013,7.2E-7,22.3,,,
2024-11-23 09:13:17.826,133768267978260000,,1.9583334,7.120259E-8,44.5,0,0,,,,,,
2024-11-23 09:13:44.216,133768268242160000,,,,,0,0,26073,7.2E-7,21.7,,,
2024-11-23 09:14:44.216,133768268842160000,,,,,0,0,26133,7.2E-7,21.0,,,
2024-11-23 09:14:53.826,133768268938260000,,3.15625,1.4808654E-7,31.0,0,0,,,,,,
2024-11-23 09:15:44.216,133768269442160000,,,,,0,0,26193,7.3E-7,20.2,,,
2024-11-23 09:16:29.826,133768269898260000,,4.0833335,1.9026183E-7,28.1,0,0,,,,,,
2024-11-23 09:16:44.216,133768270042160000,,,,,0,0,26253,7.3E-7,19.3,,,
2024-11-23 09:17:44.216,133768270642160000,,,,,0,0,26313,7.3E-7,18.3,,,
2024-11-23 09:18:05.826,133768270858260000,,5.6145835,2.2003174E-7,25.3,0,0,,,,,,
2024-11-23 09:18:44.216,133768271242160000,,,,,0,0,26373,7.3E-7,17.1,,,
2024-11-23 09:19:41.826,133768271818260000,,7.5416665,3.711853E-7,20.1,0,0,,,,,,
2024-11-23 09:19:44.216,133768271842160000,,,,,0,0,26433,7.4E-7,15.8,,,
2024-11-23 09:20:44.216,133768272442160000,,,,,0,0,26493,7.4E-7,14.5,,,
2024-11-23 09:21:17.826,133768272778260000,,9.322917,3.9874266E-7,18.8,0,0,,,,,,
2024-11-23 09:21:44.216,133768273042160000,,,,,0,0,26553,7.4999997E-7,13.2,,,
2024-11-23 09:22:44.216,133768273642160000,,,,,0,0,26613,7.4999997E-7,11.8,,,
2024-11-23 09:22:48.826,133768273688260000,Dose rate alarm 1,,4.3883134E-7,15.0,1,0,,,,,,
2024-11-23 09:22:53.826,133768273738260000,,12.895833,6.0266115E-7,15.6,1,0,,,,,,
2024-11-23 09:23:44.216,133768274242160000,,,,,0,0,26673,7.6E-7,10.4,,,
2024-11-23 09:24:29.826,133768274698260000,,15.40625,7.9793296E-7,13.5,1,0,,,,,,
2024-11-23 09:24:44.216,133768274842160000,,,,,0,0,26733,7.7E-7,8.9,,,
2024-11-23 09:25:44.216,133768275442160000,,,,,0,0,26793,7.9E-7,7.4,,,
2024-11-23 09:26:05.826,133768275658260000,,18.625,8.3952835E-7,13.1,1,0,,,,,,
2024-11-23 09:26:29.326,133768275893260000,Count rate alarm 2,90.0,,,2,0,,,,,,
2024-11-23 09:26:29.326,133768275893260000,Dose rate alarm 2,,4.161133E-6,78.4,2,0,,,,,,
2024-11-23 09:26:44.216,133768276042160000,,,,,0,0,26853,7.9999995E-7,5.8,,,
2024-11-23 09:26:56.826,133768276168260000,Count rate alarm 1,20.072727,,,1,0,,,,,,
2024-11-23 09:27:13.826,133768276338260000,Count rate alarm 1,20.067415,,,1,0,,,,,,
2024-11-23 09:27:41.826,133768276618260000,,21.739584,9.565124E-7,12.2,1,0,,,,,,
2024-11-23 09:27:44.216,133768276642160000,,,,,0,0,26913,8.1999997E-7,4.2,,,
2024-11-23 09:28:44.216,133768277242160000,,,,,0,0,26973,8.3E-7,2.6,,,
2024-11-23 09:29:17.826,133768277578260000,,24.46875,1.0282695E-6,11.8,1,0,,,,,,
2024-11-23 09:29:44.216,133768277842160000,,,,,0,0,27033,8.5E-7,0.9,,,
2024-11-23 09:30:44.216,133768278442160000,,,,,0,0,27093,8.6E-7,-0.7,,,
2024-11-23 09:30:53.826,133768278538260000,,26.729166,1.1726023E-6,11.1,1,0,,,,,,
2024-11-23 09:31:37.326,133768278973260000,Dose rate alarm 2,,1.3047186E-6,15.0,2,0,,,,,,
2024-11-23 09:31:39.826,133768278998260000,Dose rate alarm 2,,1.3101417E-6,15.0,2,0,,,,,,
2024-11-23 09:31:42.826,133768279028260000,Dose rate alarm 2,,1.2983963E-6,15.0,2,0,,,,,,
2024-11-23 09:31:44.216,133768279042160000,,,,,0,0,27153,8.8E-7,-2.4,,,
2024-11-23 09:32:13.326,133768279333260000,Dose rate alarm 2,,1.3233052E-6,15.0,2,0,,,,,,
2024-11-23 09:32:29.826,133768279498260000,,29.03125,1.2782643E-6,10.6,2,0,,,,,,
2024-11-23 09:32:44.216,133768279642160000,,,,,0,0,27213,9.1000004E-7,-4.0,,,
2024-11-23 09:33:15.826,133768279958260000,Dose rate alarm 2,,1.3118595E-6,15.1,2,0,,,,,,
2024-11-23 09:33:21.826,133768280018260000,,35.625,1.8046875E-6,30.9,2,0,,,,,,
2024-11-23 09:33:27.826,133768280078260000,,26.8125,9.1052243E-7,31.0,1,0,,,,,,
2024-11-23 09:33:33.826,133768280138260000,,26.625,8.001709E-7,31.0,1,0,,,,,,
2024-11-23 09:33:44.216,133768280242160000,,,,,0,0,27273,9.3E-7,-5.5,,,
2024-11-23 09:33:45.826,133768280258260000,,30.322916,1.3095143E-6,7.2,2,0,,,,,,
2024-11-23 09:34:44.216,133768280842160000,,,,,0,0,27333,9.4E-7,-6.9,,,
2024-11-23 09:35:08.326,133768281083260000,Dose rate alarm 2,,1.3160259E-6,15.0,2,0,,,,,,
2024-11-23 09:35:17.826,133768281178260000,,31.682291,1.3582229E-6,7.2,2,0,,,,,,
2024-11-23 09:35:18.326,133768281183260000,Dose rate alarm 2,,1.3188844E-6,15.0,2,0,,,,,,
