Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
Packet Number,SIV,FixType,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Min,Sec,NNV,NEV,NDV,Battery,3v3 Supply,5v Supply,Radio Supply,Analog Internal,Analog External,Altimeter Temp,Digital Internal,Digital Eternal,Pressure,Accel A,Accel Y,Accel z,Pitch,Roll,Yaw
35,0,0,0,0,0,2020,8,2,0,0,37,0,0,0,3.59,3.30,4.98,4.98,32.54,30.24,27.89,29.77,27.87,974.32,-1.26,2.03,9.14,-7.68,12.39,164.64,"END
"
36,0,0,0,0,0,2020,8,2,0,0,38,0,0,0,3.57,3.32,4.98,4.98,32.78,29.61,27.89,29.80,27.87,974.15,-1.26,2.07,9.33,-7.52,12.37,165.30,"END
"
37,0,0,0,0,0,2020,8,2,0,0,39,0,0,0,3.54,3.30,4.98,4.98,33.01,29.86,27.89,29.84,27.87,974.28,-1.30,2.03,9.33,-7.75,12.14,165.47,"END
"
38,0,0,0,0,0,2020,8,2,0,0,40,0,0,0,3.58,3.30,4.98,4.98,32.83,30.04,27.90,29.87,27.93,974.36,-1.22,2.03,9.10,-7.48,12.45,165.12,"END
"
39,0,0,0,0,0,2020,8,2,0,0,41,0,0,0,3.59,3.30,4.98,4.98,33.47,30.37,27.90,29.88,27.85,974.52,-2.72,1.45,9.37,-15.98,8.47,163.91,"END
"
40,0,0,0,0,0,2020,8,2,0,0,42,0,0,0,3.58,3.30,4.98,4.95,32.83,29.78,27.89,29.93,27.87,974.26,-8.45,-2.79,4.32,-58.67,-16.39,173.80,"END
"
41,0,0,0,0,0,2020,8,2,0,0,43,0,0,0,3.50,3.30,4.98,4.98,33.24,29.96,27.90,29.97,27.89,974.34,-9.03,-4.09,4.28,-56.72,-22.27,179.54,"END
"
42,0,0,0,0,0,2020,8,2,0,0,44,0,0,0,3.57,3.30,4.98,4.98,33.02,29.81,27.88,30.00,27.80,974.33,-8.68,-4.70,0.65,-61.32,-28.38,-171.68,"END
"
43,0,0,0,0,0,2020,8,2,0,0,45,0,0,0,3.58,3.30,4.98,4.98,33.27,29.96,27.90,30.04,27.86,974.32,-9.18,-4.02,1.49,-64.98,-23.36,-173.89,"END
"
44,0,0,0,0,0,2020,8,2,0,0,46,0,0,0,3.58,3.30,4.98,4.94,33.82,30.27,27.89,30.05,27.85,974.35,-4.86,0.84,8.72,-29.01,4.82,-169.43,"END
"
45,0,0,0,0,0,2020,8,2,0,0,47,0,0,0,3.58,3.30,4.98,4.98,33.93,30.64,27.89,30.08,27.84,974.26,-3.63,1.38,10.21,-19.42,7.24,-173.92,"END
"
46,0,0,0,0,0,2020,8,2,0,0,48,0,0,0,3.58,3.30,4.98,4.98,32.99,30.16,27.89,30.13,27.85,974.28,-4.02,0.34,8.45,-25.39,2.11,-178.55,"END
"
47,0,0,0,0,0,2020,8,2,0,0,49,0,0,0,3.58,3.30,4.98,4.98,33.82,30.42,27.89,30.16,27.83,974.32,-6.92,-1.91,4.51,-54.70,-13.03,-175.88,"END
"
48,0,0,0,0,0,2020,8,2,0,0,50,0,0,0,3.57,3.30,4.98,4.98,33.33,29.60,27.88,30.15,27.84,974.19,-7.19,-0.84,6.00,-49.86,-5.13,167.27,"END
"
49,0,0,0,0,0,2020,8,2,0,0,51,0,0,0,3.57,3.30,4.98,4.98,34.23,30.25,27.87,30.17,27.84,974.33,-8.34,0.00,5.05,-58.80,0.00,161.49,"END
"
50,0,0,0,0,0,2020,8,2,0,0,52,0,0,0,3.54,3.30,4.98,4.98,33.19,29.99,27.88,30.26,27.85,974.40,-7.92,-1.22,3.98,-62.27,-7.86,169.95,"END
"
51,0,0,0,0,0,2020,8,2,0,0,53,0,0,0,3.58,3.30,4.98,4.98,33.92,29.90,27.89,30.27,27.83,974.32,-7.65,-1.64,-0.34,-77.61,-12.12,178.67,"END
"
52,0,0,0,0,0,2020,8,2,0,0,54,0,0,0,3.57,3.30,4.98,4.98,33.15,29.56,27.87,30.26,27.88,974.41,-8.68,-1.84,2.79,-68.95,-11.38,165.43,"END
"
53,0,0,0,0,0,2020,8,2,0,0,55,0,0,0,3.58,3.30,4.98,4.94,34.28,29.98,27.87,30.31,27.81,974.30,-8.34,0.04,6.62,-51.56,0.21,160.01,"END
"
54,0,0,0,0,0,2020,8,2,0,0,56,0,0,0,3.51,3.30,4.98,4.98,33.41,30.11,27.85,30.33,27.84,974.11,-9.29,0.69,2.64,-73.65,4.08,151.02,"END
"
